H,-0.5,VNET,0.5,GAUGE
m,m3,m3,m3,cm
0,0,0,0,-9.2
0.1,0.12,0.122,0.125,0.8
0.2,0.354,0.37,0.387,10.8
0.3,0.721,0.752,0.784,20.8
0.4,1.206,1.248,1.293,30.8
0.5,1.789,1.839,1.889,40.8
0.6,2.428,2.487,2.549,50.8
0.7,3.144,3.216,3.289,60.8
0.8,3.937,4.019,4.104,70.8
0.9,4.799,4.892,4.989,80.8
1,5.728,5.833,5.942,90.8
1.1,6.722,6.836,6.953,100.8
1.2,7.765,7.889,8.018,110.8
1.3,8.867,9.004,9.145,120.8
1.4,10.026,10.173,10.324,130.8
1.5,11.236,11.394,11.556,140.8
1.6,12.497,12.667,12.839,150.8
1.7,13.809,13.987,14.167,160.8
1.8,15.159,15.344,15.532,170.8
1.9,16.547,16.742,16.942,180.8
2,17.982,18.187,18.396,190.8
2.1,19.457,19.671,19.888,200.8
2.2,20.968,21.189,21.414,210.8
2.3,22.512,22.742,22.975,220.8
2.4,24.09,24.326,24.566,230.8
2.5,25.696,25.938,26.185,240.8
2.6,27.329,27.58,27.833,250.8
2.7,28.992,29.248,29.508,260.8
2.8,30.679,30.941,31.207,270.8
2.9,32.39,32.658,32.929,280.8
3,34.123,34.396,34.673,290.8
3.1,35.876,36.154,36.436,300.8
3.2,37.648,37.931,38.217,310.8
3.3,39.437,39.724,40.014,320.8
3.4,41.241,41.531,41.825,330.8
3.5,43.058,43.351,43.647,340.8
3.6,44.884,45.18,45.478,350.8
3.7,46.719,47.016,47.317,360.8
3.8,48.559,48.858,49.159,370.8
3.9,50.403,50.702,51.004,380.8
4,52.248,52.547,52.849,390.8
4.1,54.091,54.39,54.691,400.8
4.2,55.931,56.228,56.527,410.8
4.3,57.763,58.058,58.355,420.8
4.4,59.586,59.878,60.172,430.8
4.5,61.397,61.686,61.976,440.8
4.6,63.194,63.478,63.763,450.8
4.7,64.972,65.251,65.532,460.8
4.8,66.732,67.005,67.28,470.8
4.9,68.47,68.737,69.006,480.8
5,70.184,70.445,70.707,490.8
5.1,71.873,72.126,72.381,500.8
5.2,73.534,73.779,74.026,510.8
5.3,75.166,75.404,75.643,520.8
5.4,76.768,76.998,77.23,530.8
5.5,78.339,78.561,78.784,540.8
5.6,79.878,80.091,80.305,550.8
5.7,81.384,81.588,81.793,560.8
5.8,82.856,83.051,83.248,570.8
5.9,84.294,84.48,84.667,580.8
6,85.698,85.874,86.051,590.8
6.1,87.065,87.233,87.402,600.8
6.2,88.402,88.561,88.722,610.8
6.3,89.706,89.857,90.008,620.8
6.4,90.977,91.119,91.262,630.8
6.5,92.217,92.35,92.484,640.8
6.6,93.423,93.543,93.664,650.8
6.7,94.588,94.702,94.818,660.8
6.8,95.737,95.852,95.968,670.8
6.9,96.879,96.983,97.089,680.8
7,97.986,98.084,98.184,690.8
7.1,99.075,99.168,99.263,700.8
7.2,100.149,100.24,100.332,710.8
7.3,101.218,101.305,101.395,720.8
7.4,102.281,102.367,102.455,730.8
7.5,103.342,103.427,103.514,740.8
7.6,104.405,104.488,104.574,750.8
7.7,105.467,105.548,105.633,760.8
7.8,106.531,106.613,106.697,770.8
7.9,107.614,107.697,107.783,780.8
8,108.701,108.784,108.871,790.8
8.1,109.8,109.884,109.972,800.8
8.2,110.913,110.998,111.087,810.8
8.3,112.039,112.126,112.216,820.8
8.4,113.18,113.268,113.36,830.8
8.5,114.338,114.427,114.519,840.8
8.6,115.511,115.601,115.696,850.8
8.7,116.701,116.793,116.889,860.8
8.8,117.91,118.003,118.101,870.8
8.9,119.137,119.231,119.331,880.8
9,120.382,120.479,120.581,890.8
9.1,121.649,121.747,121.85,900.8
9.2,122.935,123.035,123.141,910.8
9.3,124.243,124.345,124.452,920.8
9.4,125.573,125.677,125.787,930.8
9.5,126.925,127.032,127.102,940.8
9.6,128.268,128.381,128.5,950.8
9.7,129.687,129.804,129.928,960.8
9.8,131.128,131.243,131.364,970.8
9.9,132.583,132.7,132.824,980.8
10,134.063,134.183,134.31,990.8
10.1,135.57,135.693,135.823,1000.8
10.2,137.104,137.23,137.363,1010.8
10.3,138.666,138.795,138.931,1020.8
10.4,140.256,140.388,140.369,1030.8
