H,-2,VNET,2,GAUGE
m,m3,m3,m3,cm
0.000,0.160,0.000,0.000,-6.0
0.100,0.688,0.528,0.369,4.0
0.200,1.216,1.056,0.897,14.0
0.300,1.745,1.585,1.425,24.0
0.400,2.273,2.113,1.954,34.0
0.500,2.801,2.641,2.482,44.0
0.600,3.330,3.169,3.011,54.0
0.700,3.858,3.698,3.539,64.0
0.800,4.387,4.226,4.067,74.0
0.900,4.915,4.754,4.596,84.0
1.000,5.443,5.282,5.124,94.0
1.100,5.972,5.810,5.653,104.0
1.200,6.500,6.339,6.181,114.0
1.300,7.029,6.867,6.709,124.0
1.400,7.557,7.395,7.238,134.0
1.500,8.085,7.923,7.766,144.0
1.600,8.614,8.452,8.294,154.0
1.700,9.142,8.980,8.823,164.0
1.800,9.670,9.508,9.351,174.0
1.900,10.199,10.036,9.880,184.0
2.000,10.727,10.564,10.408,194.0
2.100,11.256,11.093,10.936,204.0
2.200,11.621,11.621,11.464,214.0
