m^3,m^2,m,m3
0,0,0,0
0.001,0.01,0.1,0.005
0.008,0.04,0.2,0.034
0.027,0.09,0.3,0.092
0.064,0.16,0.4,0.171
0.125,0.25,0.5,0.292
0.216,0.36,0.6,0.482
0.343,0.49,0.7,0.73
0.512,0.64,0.8,1.035
0.729,0.81,0.9,1.398
1,1,1,1.826
1.331,1.21,1.1,2.321
1.728,1.44,1.2,2.873
2.197,1.69,1.3,3.484
2.744,1.96,1.4,4.159
3.375,2.25,1.5,4.907
4.096,2.56,1.6,5.719
4.913,2.89,1.7,6.595
5.832,3.24,1.8,7.531
6.859,3.61,1.9,8.529
8,4,2,9.585
9.261,4.41,2.1,10.696
10.648,4.84,2.2,11.862
12.167,5.29,2.3,13.084
13.824,5.76,2.4,14.357
15.625,6.25,2.5,15.681
17.576,6.76,2.6,17.053
19.683,7.29,2.7,18.471
21.952,7.84,2.8,19.933
24.389,8.41,2.9,21.437
27,9,3,22.981
29.791,9.61,3.1,24.565
32.768,10.24,3.2,26.184
35.937,10.89,3.3,27.837
39.304,11.56,3.4,29.524
42.875,12.25,3.5,31.244
46.42310858,12.916836,3.594,32.888
